,Unnamed: 0,event_name,promoter,director,city,state,Start_Date,End_Date
8303,8303,2011 Sage Brush Scramble,Broken Spoke Cycling,Hal Miller,,,04/03/2011,
8332,8332,Crosstober Nights,Coeur d 'Alene Velo Racers (CDAVR),Michael Gaertner,,,10/15/2011,
8354,8354,Black Partridge Open,Peoria Area Mountain Bike Association (PAMBA),Anthony Thaller,,,05/22/2011,
8457,8457,"Iowa Spring Classic 2, Hills/Iowa City IA",Goosetown Racing Club,Brett Griggs,,,03/12/2011,
8523,8523,Manions CX,Team Colavita/ Parisi Coffee,Britton Kusiak,,,09/24/2011,09/25/2011
8564,8564,L.A. 31 Vuelta de Acadiana,Acadiana Bicycle Company Racing,Glenn Richard,,,07/02/2011,07/03/2011
8683,8683,Cherry- Roubaix Criterium and State Championship R,Cherry-Roubaix Inc.,Bob McLain,,,08/13/2011,08/14/2011
8733,8733,"Tuffburg, SCRCS 1",R2W Cycling,Paul Pulsifer,Tuffburg,SCRCS 1,03/20/2011,
8758,8758,Lindenwood University MWCCC Regional Championships,Lindenwood University,Tim Norris,,,04/16/2011,04/17/2011
8772,8772,Hellbender,Rolla Multisport Club,Paul Joyner,,,06/18/2011,06/19/2011
8785,8785,Gateway Cross Cup,Michelob Ultra - Big Shark Racing,Michael Weiss,,,09/21/2011,
8818,8818,Callville Bay Classic,Wicked Cycling Inc,Mike Olsen,,,02/24/2011,02/27/2011
8820,8820,Sierra Nevada Hill Climb Time Trial Series,Reno Wheelmen,Spencer Ericksen,,,05/07/2011,08/07/2011
8852,8852,Attitash & Cranmore Mountain Cross Country and Dow,University of New Hampshire,Isabella Oleksy,,,10/08/2011,10/09/2011
8856,8856,Rutgers Scarlet Scurry,Rutgers University-New Brunswick,Nicholas Apostolopoulos,,,03/05/2011,03/06/2011
8880,8880,The Hills of Somerset County Road Race,Middle Earth,Daniel Puntillo,,,05/28/2011,
8898,8898,N.J STATE ROAD RACE CHAMPIONSHIP,Pro Pedals Bike Shop,Jason Bradley,,,07/17/2011,
8955,8955,Zoefitness Skills Clinic,Zoefitness,Zoe Nance,,,11/11/2011,
8958,8958,TRES CROSSES - Cross,ZiaVelo Cycling,David Rutledge,,,12/03/2011,
8960,8960,"Hayes Apple Farm, NM Cyclocross Series Final",Get Out! New Mexico,Antonia DeHorney,Hayes Apple Farm,NM Cyclocross Series Final,12/18/2011,
8975,8975,GVCC TT,Genesee Valley Cycling Club,Nancy Robertson,,,04/14/2011,09/22/2011
8976,8976,Kings County Kermesse,Kissena Cycling Club,Charles Issendorf,,,04/16/2011,
9026,9026,NY Capital Region Road Race,Capital Bicycle Racing Club,Paul McDonnell,,,08/20/2011,
9078,9078,Hobby Park - Southern Classic MTB Series Race #2,Cycletherapy,Jim Smalley,,,03/20/2011,
9079,9079,Dixie Classic Criterium Series,Hearts Racing Club,Matthew Canter,,,03/22/2011,06/28/2011
9081,9081,Wake Forest University Road Race Weekend,Wake Forest University,James McCabe,,,03/26/2011,03/27/2011
9101,9101,Powerade State Games of NC Mountain Bike Race,Hearts Racing Club,Ragan Williams,,,06/11/2011,
9103,9103,Powerade State Games of NC Criterium,Hearts Racing Club,Ragan Williams,,,06/19/2011,
9124,9124,Brenner Pro-Am Race - Fighting Childhood Obesity,Hearts Racing Club,Ken Putnam,,,09/10/2011,
9134,9134,Dixie Classic Cyclo Cross Series 'under the l,Hearts Racing Club,Ken Putnam,,,11/01/2011,11/22/2011
9142,9142,MerryCrossmas part deux,Mock Orange Bikes,Zach Lail,,,12/17/2011,12/18/2011
9190,9190,Ohio State Cyclocross Championship Day 1,Central Ohio Bicycle Club,Andys Burns,,,10/22/2011,
9247,9247,LIMESTONE CROSS AT THE KILN - ATLANTIC REGIONAL CH,Gotham Cyclists,Andrew Taus,CAMP OLYMPIC,RT29,01/15/2011,
9253,9253,PICC Spring Training Series- North East/Fairview,Presque Isle Cycling Club,Richard Sheasley,,,04/03/2011,05/15/2011
9255,9255,Fulton Road Race,Road Cycling League,Richard Ruoff,,,04/09/2011,
9266,9266,Tour de Ephrata,Road Cycling League,Richard Ruoff,,,04/30/2011,05/01/2011
9273,9273,Oxford Road Race,Road Cycling League,Richard Ruoff,,,05/21/2011,
9284,9284,Tour of Mt. Nebo,Road Cycling League,Michael Doupe,,,06/11/2011,
9299,9299,Nicole Reinhart Memorial Tour de FCCC,The Velo Shop/LWA Racing,David Gulick,,,07/16/2011,07/17/2011
9316,9316,Wilkes-Barre Twilight Criterium,N.E. PA Cycling,Philip Cable,,,08/27/2011,
9340,9340,LIMESTONE CROSS AT THE KILN - ATLANTIC REGIONAL CH,Gotham Cyclists,Andrew Taus,CAMP OLYMPIC,RT29,12/11/2011,
9356,9356,2011 Rock Hill Bicycle Club Classic,Rock Hill Bicycle Club,Christian Reinke,,,04/02/2011,04/03/2011
9409,9409,TN State Championship,East TN Junior Cycling,Dennis Ley,,,07/09/2011,07/10/2011
9456,9456,Jesuit Ranger Roundup,North Texas Road Team,Andrew Armstrong,,,03/13/2011,
9531,9531,RPGA 'Escalera Loca' Cyclocross,Broken Films Racing,Michael (Joe) Paugh,,,11/20/2011,
9690,9690,Gravity East Series #1,Gravity East Series,Michael Baker,,,06/05/2011,
9770,9770,Fat Tire Challenge,USA Cycling Race Director,Chris Bowers,,,06/24/2012,
9854,9854,Mt Gaylor Time Trail/Arkansas State Hill Climb,River Valley Cycling,Amelia Baldwin,,,09/22/2012,
